Name,Album,Artist,Album_Artist,Genre,Year,Date_Added,Group,Play_Count,Location,All_Artists,Comments,Composer
Something New,Something New [Single],Axwell Λ Ingrosso,Axwell Λ Ingrosso,Progressive House,2014,2016-01-01 18:31:16,?,14,iTunes Media/Music/Axwell Λ Ingrosso/Something New [Single]/Something New.mp3,"Axwell Λ Ingrosso, Sebastian Ingrosso, Axwell",,
Here Comes The Hotstepper [Evian Version],Here Comes The Hotstepper [Single],Yuksek,Yuksek,Hip-Hop,2013,2016-01-01 18:31:16,?,31,iTunes Media/Music/Yuksek/Here Comes The Hotstepper [Single]/Here Comes The Hotstepper [Evian Ver.m4a,Yuksek,,
Lighters,Lighters [Single],Bad Meets Evil (feat. Bruno Mars),Bad Meets Evil,Rap,2011,2016-01-01 18:31:16,,32,iTunes Media/Music/Bad Meets Evil/Lighters [Single]/Lighters.mp3,"Bad Meets Evil, Bruno Mars",,
INFERNO [Original Mix],INFERNO [Single],Bass King & Banghook,Bass King & Banghook,Big Room,2015,2016-01-01 18:31:16,FULL DROP NETWORK,16,iTunes Media/Music/Bass King & Banghook/INFERNO [Single]/INFERNO [Original Mix].mp3,"Banghook, Bass King",,
Like That [Original Mix],Like That [Single],Bassjackers,Bassjackers,Big Room,2014,2016-01-01 18:31:16,SMASH THE HOUSE,19,iTunes Media/Music/Bassjackers/Like That [Single]/Like That [Original Mix].mp3,Bassjackers,,
Things We Lost In The Fire,Things We Lost In The Fire [Single],Bastille,Bastille,Pop / Rock,2013,2016-01-01 18:31:16,?,30,iTunes Media/Music/Bastille/Things We Lost In The Fire [Single]/Things We Lost In The Fire.mp3,"Bastille, Dan Smith",,
Again And Again,Again And Again [Single],Basto,Basto,Progressive House,2011,2016-01-01 18:31:16,,24,iTunes Media/Music/Basto/Again And Again [Single]/Again And Again.mp3,Basto,,
CloudBreaker,CloudBreaker [Single],Basto (feat. Yves V),Basto,Progressive House,2013,2016-01-01 18:31:16,SMASH THE HOUSE,21,iTunes Media/Music/Basto/CloudBreaker [Single]/CloudBreaker.mp3,"Basto, Yves V",,
Dance With Me [Original Mix],Dance With Me [Single],Basto,Basto,Big Room,2013,2016-01-01 18:31:16,SPINNIN',27,iTunes Media/Music/Basto/Dance With Me [Single]/Dance With Me [Original Mix].mp3,Basto,,
Hold You,Hold You [Single],Basto,Basto,Progressive House,2015,2016-01-01 18:31:16,SCORPIO,23,iTunes Media/Music/Basto/Hold You [Single]/Hold You.mp3,Basto,,
I Rave You [Original Mix],I Rave You [Single],Basto,Basto,Electro House,2012,2016-01-01 18:31:16,,27,iTunes Media/Music/Basto/I Rave You [Single]/I Rave You [Original Mix].mp3,Basto,,
Keep On Rockin,Keep On Rockin [Single],Basto,Basto,Big Room,2013,2016-01-01 18:31:16,SPINNIN',21,iTunes Media/Music/Basto/Keep On Rockin [Single]/Keep On Rockin.mp3,Basto,,
Stormchaser,Stormchaser [Single],Basto,Basto,Big Room,2013,2016-01-01 18:31:16,SPINNIN',31,iTunes Media/Music/Basto/Stormchaser [Single]/Stormchaser.mp3,Basto,,
Rain Or Shine,Rain Or Shine [Single],Beat Assailant,Beat Assailant,Rap,2012,2016-01-01 18:31:16,,16,iTunes Media/Music/Beat Assailant/Rain Or Shine [Single]/Rain Or Shine.mp3,Beat Assailant,,
Run [Clip Version],Run [Single],Beat Assailant,Beat Assailant,Rap,2014,2016-01-01 18:31:16,?,33,iTunes Media/Music/Beat Assailant/Run [Single]/Run [Clip Version].mp3,Beat Assailant,,
Reflections [Original Mix],Reflections [Single],Beatex (feat. Cole Thannisch),Beatex,Progressive House,2015,2016-01-01 18:31:16,IMAGINETUNEZ,26,iTunes Media/Music/Beatex/Reflections [Single]/Reflections [Original Mix].mp3,"Beatex, Cole Thannisch",,
Atomic,Atomic [Single],Ben Gold,Ben Gold,Trance,2014,2016-01-01 18:31:16,GOLDRUSH,24,iTunes Media/Music/Ben Gold/Atomic [Single]/Atomic.mp3,Ben Gold,,
Run The World (Girls),Run The World (Girls) [Single],Beyoncé,Beyoncé,Pop,2011,2016-01-01 18:31:16,,18,iTunes Media/Music/Beyoncé/Run The World (Girls) [Single]/Run The World (Girls).mp3,Beyoncé,,
Slipping Away,Slipping Away [Single],BH & Kirk Cosier (feat. Cheney),BH & Kirk Cosier,Melodic Dubstep,2015,2016-01-01 18:31:16,PHILOSOPHY,18,iTunes Media/Music/BH & Kirk Cosier/Slipping Away [Single]/Slipping Away.mp3,"BH, Cheney, Kirk Cosier",,
1901,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,21,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/01 1901.m4a,Birdy,,
Skinny Love,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,28,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/02 Skinny Love.m4a,Birdy,,
People Help The People,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,21,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/03 People Help The People.m4a,Birdy,,
White Winter Hymnal,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,30,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/04 White Winter Hymnal.m4a,Birdy,,
The District Sleeps Alone Tonight,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,22,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/05 The District Sleeps Alone Tonight.m4a,Birdy,,
