Track_ID;Name;Album;Artist;Album_Artist;Genre;Year;Date_Added;Group;Play_Count
T1730;Happy Accidents [Original Mix];Future Past [EP];Inukshuk;Inukshuk;Electronic >> Future Bass;2015;27/01/2017 18:35;NCS;15
T1731;Saw Bass [Original Mix];Saw Bass [Single];Mike Wolf;Mike Wolf;House > Future House / Future Bounce;2016;27/01/2017 18:35;AUDIMUS;12
T1732;Blackbird [Extended Mix];Blackbird [Single];Row Rocka;Row Rocka;House > Electro House;2017;27/01/2017 18:35;REVEALED;15
T1733;She Wants Me Dead [Extended Mix];She Wants Me Dead [Single];CAZZETTE V.S AronChupa (feat. The High);CAZZETTE;Electronic >> Future Bass;2016;27/01/2017 18:35;PRMD;23
T1734;Giant;Giant [Single];SKAN;SKAN;Electronic > Trap;2017;27/01/2017 18:35;TRAP CORDS;18
T1735;Paris [ESH Remix];Paris [Remix];The Chainsmokers;The Chainsmokers;House > Progressive House;2017;27/01/2017 18:35;-;14
T1736;Synergy [Original Mix];Synergy [Single];Acris & Infra;Acris & Infra;House > Future House / Future Bounce;2017;28/01/2017 11:07;TUVALI;20
T1737;Saving Light [Intro Mix];Saving Light;Gareth Emery & Standerwick (feat. HALIENE);Gareth Emery & Standerwick;Trance;2017;31/01/2017 10:23;MONSTERCAT;20
T1738;Psychic [Original Mix];Psychic [Single];R3SPAWN;R3SPAWN;House >> Big Room;2017;31/01/2017 10:23;CELL;13
T1739;Whatcha Need [Extended Mix];Whatcha Need [Single];W&W;W&W;House >> Big Room;2017;31/01/2017 10:23;MAINSTAGE MUSIC;21
T1740;Rocker [Original Mix];Rocker [Single];Dannic;Dannic;House > Electro House;2013;31/01/2017 10:32;REVEALED;15
T1741;Anywhere You Go [Audiorockers Remix];Anywhere You Go [Remix];NERVO (feat. Timmy Trumpet);NERVO;House >> Big Room;2017;02/02/2017 21:17;MONSTERCAT;12
T1742;Musicbox [Extended Mix];Musicbox [Single];Ravitez;Ravitez;House >> Big Room;2017;04/02/2017 13:55;WALL;15
T1743;Shut It Down [Original Mix];Shut It Down [Single];Dualmind;Dualmind;House > Future House / Future Bounce;2017;05/02/2017 14:31;IMMINENT;17
T1744;Always;Always [Single];Julian Jordan × CHOCO;Julian Jordan × CHOCO;Electronic >> Future Bass;2017;05/02/2017 14:31;GOLDKID;23
T1745;You're The One;You're The One [Single];Vorwerk & Mazare (feat. Matthew Steeper);Vorwerk & Mazare;Electronic >> Future Bass;2017;08/02/2017 15:01;SPINNIN' PREMIUM;26
T1746;Northern Lights;Northern Lights [Single];Blazars;Blazars;House > Future House / Future Bounce;2017;10/02/2017 12:36;NCS;11
